日期,品牌ID,品牌名称,门店ID,门店名称,城市,平台,平台i,平台门店名称,GMV,商家实收,门店曝光量,门店访问量,门店下单量,无效订单,有效订单,曝光人数,进店人数,下单人数,cpc总费用,cpc曝光量,cpc访问量,商户补贴,平台补贴
2020-01-01,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),3545.74,1349.51,4427,355,58,1,57,4169,361,52,209,3280,212,1825,32
2020-01-01,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（合生汇店）,2021.6,741.23,4172,324,39,3,36,4172,324,38,243.8,3660,194,1069,24
2020-01-01,4636,蛙小辣火锅杯（总账号）,305225345,龙阳广场店,上海,eleme,饿了么,蛙小辣火锅杯(龙阳广场店),1498.22,585.91,2377,168,25,1,24,2227,180,23,137.1,1618,97,762,148
2020-01-01,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),2184.44,1114.05,2684,190,36,0,36,2685,194,33,44.06,545,40,811,49
2020-01-02,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),2878.18,1069.32,3419,257,50,0,50,3196,257,48,192.9,2519,155,1498,32
2020-01-02,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（合生汇店）,2592,974.62,2599,238,44,1,43,2599,238,43,155.12,1683,104,1338,25
2020-01-02,4636,蛙小辣火锅杯（总账号）,305225345,龙阳广场店,上海,eleme,饿了么,蛙小辣火锅杯(龙阳广场店),1662.77,602.88,1476,118,30,0,30,1436,128,29,91.4,911,60,864,160
2020-01-02,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),2225.1,1180.31,3071,226,31,0,31,2853,229,31,156,1699,107,780,55
2020-01-03,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),4093.26,1595.58,3587,303,66,1,65,3355,303,62,205.4,2745,193,2061,45
2020-01-03,4636,蛙小辣火锅杯（总账号）,305225345,龙阳广场店,上海,eleme,饿了么,蛙小辣火锅杯(龙阳广场店),1782.05,642.23,1541,134,32,0,32,1583,145,31,92.76,912,64,945,162
2020-01-03,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),3455.42,1607.79,3844,287,57,0,57,3587,290,56,198.41,2125,140,1460,62
2020-01-04,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),4058.06,1573.61,3846,339,65,0,65,3551,339,57,205.44,2813,182,2066,41
2020-01-04,4636,蛙小辣火锅杯（总账号）,8184590,五角场店,上海,meituan,美团,蛙小辣火锅杯（合生汇店）,2130.38,870.73,2779,213,32,0,32,2779,213,32,100,1738,89,1017,27
2020-01-04,4636,蛙小辣火锅杯（总账号）,305225345,龙阳广场店,上海,eleme,饿了么,蛙小辣火锅杯(龙阳广场店),1531,614.58,2251,136,26,0,26,2115,137,25,79.77,810,50,751,181
2020-01-04,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),2473.82,1157.83,3663,263,36,0,36,3460,264,35,168.17,2231,131,1045,85
2020-01-05,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),3576.58,1368.12,3689,328,60,0,60,3418,335,58,200.44,2793,198,1819,49
2020-01-05,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),2625.38,1139.24,2774,179,44,1,43,2689,189,42,51.79,417,29,1235,54
2020-01-06,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),2265.82,843.54,3157,239,39,0,39,2908,237,38,189.29,2337,141,1181,32
2020-01-06,4636,蛙小辣火锅杯（总账号）,2000507076,五角场店,上海,eleme,饿了么,蛙小辣火锅杯(五角场店),2397.2,909.82,2269,135,45,0,45,2210,143,44,0,1,0,1221,57
2020-01-07,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),3662.26,1466.4,2999,243,58,0,58,2999,243,56,146.68,1855,123,1867,31
2020-01-08,4636,蛙小辣火锅杯（总账号）,2001104355,宝山店,上海,eleme,饿了么,蛙小辣·美蛙火锅杯(宝山店),3299.56,1223.62,2549,230,56,0,56,2549,230,53,134.51,1896,113,1729,45
